citation,artist
"Fuck le succès, je veux rester dans la lumière en l'éteignant, ouh, dans la mère à Sarko', dans la mère à Netanyahu",Saturne
"Selon l'environnement, j'abaisse mon niveau, comme un goldfish dans le bocal
Envie d'romance mais y a personne qui vaut, même en famille, j'ai des blocages",Spécial ft. Laylow
"Le premier sourire avant que tout se mette à dériver, la première blague complice, la première fois qu'on s'est griffé, quand je te regardais dormir et que j'écrivais",Elle pleut
"Tout le monde rêve de planer, t'as pas de mal à bicrave.
Tu déballes et voilà dix grammes, tu prends tes tunes, pas d'études
mais tu passes ton premier examen pour une maladie grave",Laisse aller
"Et puis ça fait un bail que j'ai pas vu l'ensemble du crew, on s'promet l'amitié, une fois adulte on s'enfuit tous",J'aurais dû continuer le rap
"On veut c'qu'on voit c'est une question de choix, tu penses au désastre tu tentes ta chance, est-ce-que ça vaut quelques instants de joie, quand t'encaisses tant de choses ? C'est peut-être le bonheur qu'on fuyait, c'est étrange comme le conflit tente, j'ai vraiment b'soin de me confier, mais c'est toi ma seule confidente, alors je sombre",Energie sombre
"Ma mère m'a élevé à la dure, une éducation stricte, elle m'a dit : Les enfants gâtés sont des petits garçons tristes, hein. Et c'est maintenant que j'aperçois ces vérités, j'remercierai jamais assez maman pour sa sévérité, ça c'est d'l'amour. Grâce à elle, j'me contente de peu, un couché de soleil et je contemple Dieu. J'ai rien zappé maman, j'me souviens qu'à cette époque je t'aimais tellement que je cassais tes clopes","Les enfants gâtés sont des petits garçons tristes, hein. Et c'est maintenant que j'aperçois ces vérités, j'remercierai jamais assez maman pour sa sévérité, ça c'est d'l'amour. Grâce à elle, j'me contente de peu, un couché de soleil et je contemple Dieu. J'ai rien zappé maman, j'me souviens qu'à cette époque je t'aimais tellement que je cassais tes clopes~NekfeuSource"
"Je décuple mes sens comme un handicapé.
Comment trouver le chemin qu'on m'indique à peine ?
J'me sens comme Andy Kaufman dans Man on the Moon",Nique les clones pt.II
"Je sais que c'est dur d'se sentir vivant
dans cette noirceur étouffante, toi et moi
en vision infrarouge, on ressemble à des fantômes...
Pardon aux gens que j'aime que j'ai plus l'temps d'voir",Être humain
"Avant d'avoir le respect, essaye d'avoir le mental",Mauvaise Graine
"Je gagnais des battles avant les RC.
T'écoutais pas de rap avant les RC,
tu ferais mieux de me remercier, mercé. J'me foule contre tes textes,
pendant qu'Hakim pilote l'Audi. T'as beaucoup trop de défaites, t'as cassé les prix:
*Clap clap* : c'est le bruit de mon public qui m'applaudit","
*Clap clap* "
"L'enfer est gelé, le paradis crame",Laisse aller
"Au-dessus des nuages, soleil plein, j'ai la fusée mais j'repars pas sans les miens",Sous les nuages
"Ton putain de rap est falsh, boy.
J'parle pas d'toi, pourquoi tu t'fâches, boy ?",Esquimaux
Est-ce que t'as honte de vérifier qu't'es bien coiffé sur la tof ?,Humanoïde
"Après la haine vient la paix, comme El-Hajj Malik El-Shabazz.
On m'a dit : Maîtrise ta colère., est-ce que j'étais triste à tort ?
J'avais la directrice à dos, est-ce que c'était qu'une crise d'ado ?","Maîtrise ta colère., est-ce que j'étais triste à tort ?
J'avais la directrice à dos, est-ce que c'était qu'une crise d'ado ?~NekfeuSource"
"J'leur montre jamais que j'suis touché, les blessés attirent les hyènes, autour de moi que des lionnes, je me force à le dire aux miennes",Jeux vidéo et débats
"Moi j'veux pas être au dessus, je veux être à la hauteur",Nekketsu
"Dis-moi : que fait l'école à part te dompter ?
Ils te diront que j'suis naïf quand je parle de bonté","que fait l'école à part te dompter ?
Ils te diront que j'suis naïf quand je parle de bonté~NekfeuSource"
"Dans les bras d'une autre fille, j'envie l'amour que j'ai ap' et je m'noie",Le bruit qui court
"Ils veulent relancer l'économie, désastre écologique, pardonnez moi d'être plus émotif que logique",Besoins de sens
"Un p'tit Arabe qui fait des bêtises, c'est un voyou pour la France, un p'tit Noir, c'est pareil mais, quand c'est un p'tit Blanc, c'est juste un chenapan",Les étoiles vagabondes
"Tous les matins, je pense à toi, rien ne t'remplace, tu m'as offert c'que le chagrin fait de mieux",Princesse de feu
"Tout est une question de volonté, les tentations pourraient me l’ôter",Programmé
"Ce sera tu quand le mystère du je se sera tue
cesseras-tu, cesseras-tu de m'aimer après ces ratures ?
Ce sera dur, cette histoire, c'est la nôtre, faut pas qu'on se vautre,
car, quand deux cœurs se nouent, on se voue à l'autre",Risibles Amours
"J'ai l'amour pour remède, on part pour renaître, ciel noir",Ciel noir
"Toi qui rêvais de grands espaces et n'as eu que des fenêtres,
aimerais-tu renaître et déserter ces rangs d'esclave ?",Rêve d'avoir des rêves
"Celle qui m'a senti naître et m'a vu grandir centimètre par centimètre
M'a toujours dit : Rien n'sert d'avoir des projets sans t'y mettre ",Rien n'sert d'avoir des projets sans t'y mettre ~NekfeuSource
"Les filles n'aiment pas les rappeurs en soirée
car on fait des cyphers au lieu de les draguer",Au cœur du G
"Issu d'une jeunesse qui m'choque, attiré par le crime, genre,
si j'me flingue en live, combien de screenshots ?",Réalité Augmentée
"Envie d't'envoler quand tu vois l'actu', voilà qu't'es perdu dans la voie lactée",Les étoiles vagabondes
C'est comme si leur cœur avait regardé les deux yeux de Médusa,Tempête
"Rappelle-toi comme t'y croyais fort,
avant qu'le premier homme te mente",Princesse
"Mais, si l'un des miens part, je m'en remets pas, même si je crois qu'on part d'ici-bas pour mieux renaître",Ciel noir
"Tu te noies dans l'alcool, moi, je faisais de même,
est-ce que, dans ta tombe, t'assumeras les rres-ve ?",Mauvaise Graine
"Vu qu'on forme des copies conformes,
qui ne pensent qu'à leur petit confort",Nique les clones pt.II
"J'en ai rien à foutre de vos putains de codes.
J'avais peur, je l'ai dit, mais j'ai un cœur, je le dis
mais je suis toujours là pour mes putains de potes",Nique les clones pt.II
"Ma deuxième mère qui dort sur le canapé après une dure journée.
Un jour, elle m'a dit : je t'aime et mes yeux scintillèrent.
J'me sens apaisé par sa voix pendant les cinq prières","je t'aime et mes yeux scintillèrent.
J'me sens apaisé par sa voix pendant les cinq prières~NekfeuSource"
"Tu sais aps ma vie, je viens noircir vos lanternes, comme une panthère que l'on enferme loin du grand air, qui vit l'enfer",Plus fort que moi
"Un parcours vrillé, un samedi soir en gardav'.
Un mec m'a dit : T'es là pourquoi ?
J'ai répondu : J'suis là pour briller","T'es là pourquoi ?
J'ai répondu "
"Le ciel aussi pleure après la dépression, je trouve l'idée précieuse",Risibles Amours
Y a qu'la douleur qui ne ment pas quand tout le reste n'est que mensonge,Compte les hommes
Y a que quand j'suis premier que j'reste à ma place,Martin Eden
"Indépendants comme PNL, on veut être les premiers comme Jul",Takotsubo
"Le plus important, c'est la mif, pas les villas, jets, biff' alors fils, n'envie pas nos vies, vis la tienne",à la base
"Je sais que mes aïeux veillent sur moi, ici bas j'me sens assez seul, j'côtoie les même mans d'une année sur l'autre, ici bas j'me sens assez seul",Natsukashii
"Et puis j'ai rendu la seule qui m'aimait triste,
celle qui s'était éprise de mes tristes débris.
Et mes regrets, mes tripes, car j'ai vu depuis
mes écrits la détruire, la déprime l'amaigrir",Humanoïde
"Aucune action n'est sans conséquence,
mais certains accidents sont bénéfiques",Être humain
"Si je peux le faire, t'en es capable;
nan, je ne suis pas un mec à part",Être humain
"Regarde sombre à la caméra, Jean-Paul dans A bout d'souffle.
J'avais pas beaucoup d'sous comme un garçon de la Gomorra",Vinyle
"La clémentine est pulpeuse, le café est serré;
La fille d'hier est pulpeuse, la fille d'hier est serrée;
La brioche est tressée, le jus d'orange est pressé;
La fille d'hier est tressée mais Le Fenek est pressé",Au cœur du G
